CourseNumber	Course	Department	Credits	Pre-Requisites	Co-Requisites	Semesters	Restrictions
PE 2010	Varsity Football	Physical Education	1.0; Graded Pass/Fail Only	null	null	Fall	Permission of department required
PE 2020	Varsity Basketball	Physical Education	1.0; Graded Pass/Fail Only	null	null	"Fall, Spring"	Permission of department required
PE 2028	Ski Patrol (Hill)	Physical Education	1.0; Graded Pass/Fail Only	null	null	Spring	Permission of department required
PE 2030	Varsity Hockey	Physical Education	1.0; Graded Pass/Fail Only	null	null	"Fall, Spring"	Permission of department required
PE 2040	Varsity Nordic Skiing	Physical Education	1.0; Graded Pass/Fail Only	null	null	Spring	Permission of department required
PE 2050	Varsity Soccer	Physical Education	1.0; Graded Pass/Fail Only	null	null	"Fall, Spring"	Permission of department required
PE 2080	Varsity Track	Physical Education	1.0; Graded Pass/Fail Only	null	null	Spring	Permission of department required
PE 2090	Varsity Tennis	Physical Education	1.0; Graded Pass/Fail Only	null	null	"Fall, Spring"	Permission of department required
PE 2130	Varsity Volleyball	Physical Education	1.0; Graded Pass/Fail Only	null	null	Fall	Permission of department required
PE 2140	Varsity Cross Country	Physical Education	1.0; Graded Pass/Fail Only	null	null	Fall	Permission of department required
PE 2150	Cross Training	Physical Education	1.0; Graded Pass/Fail Only	null	null	"Fall, Spring"	Permission of department required
PH 1090	The Physics Behind Music	Physics	3	MA 1031(C) or MA 1032(C)	null	"Fall, Spring, Summer"	Permission of department required
PH 1091	The Physics Behind Music Lab	Physics	1	PH 1090(C)	null	"Fall, Summer"	Permission of department required
PH 1100	Physics by Inquiry I	Physics	1	MA 1160(C) or MA 1161(C)	null	"Fall, Spring, Summer"	Permission of department required
PH 1110	College Physics I	Physics	3	MA 1031 or MA 1032 or MA 1135(C) or MA 1160(C) or MA 1161(C)	PH 1111	"Fall, Summer"	"May not be enrolled in one of the following College(s): School of Technology, College of Engineering; May not be enrolled in one of the following Major(s): Physics, Applied Physics"
PH 1111	College Physics I Laboratory	Physics	1	null	PH 1110	"Fall, Summer"	"May not be enrolled in one of the following College(s): School of Technology, College of Engineering; May not be enrolled in one of the following Major(s): Physics, Applied Physics"
PH 1140	Applied College Physics I	Physics	3	MA 1031 or MA 1032 or MA 1160(C) or MA 1161(C) and (PH 1100 or PH 1111 or PH 1141(C) or PH 1161)	PH 1141	Spring	"Must be enrolled in one of the following Major(s): Construction Management, Mechanical Engineering Tech, Electrical Eng Tech (BS), General Technology, Theatre &amp; Entertain Tech (BS), Computer Network &amp; System Admn"
PH 1141	Applied College Physics I Laboratory	Physics	1	null	PH 1140	Spring	"Must be enrolled in one of the following Major(s): Engineering Technology, Mechanical Engineering Tech, Computer Network &amp; System Admn, Electrical Eng Tech (BS), Theatre &amp; Entertain Tech (BS), Construction Management"
PH 1160 - Honors Physics I	Honors Physics I - Mechanics	Physics	4	MA 1160(C) or MA 1161(C)	PH 1161	Fall	"Must be enrolled in one of the following Major(s): Physics (BA), Physics, Applied Physics"
PH 1161	Introduction to Experimental Physics I	Physics	1	null	PH 1160	Fall	"Must be enrolled in one of the following Major(s): Physics (BA), Physics, Applied Physics"
PH 1200	Physics by Inquiry II	Physics	1	PH 1100 or PH 1111 or PH 1141 or PH 1161	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Physics (BA), Physics, Applied Physics"
PH 1210	College Physics II	Physics	3	PH 1200(C) and (PH 1110 or PH 1100)	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following College(s): School of Technology, College of Engineering; May not be enrolled in one of the following Major(s): Physics, Applied Physics"
PH 1240	Applied College Physics II	Physics	3	PH 1140 or PH 1110	PH 1200	Fall	Must be enrolled in one of the following College(s): School of Technology
PH 1360 - Honors Physics II	Honors Physics II - Rotation and Vibration	Physics	2	(PH 1160 or PH 2100) and MA 2160(C)	PH 1361	Spring	Must be enrolled in one of the following College(s): School of Technology
PH 1361	Introductory Experimental Physics II	Physics	1	null	PH 1360	Spring	Must be enrolled in one of the following College(s): School of Technology
PH 1500	Extraordinary Concepts in Physics	Physics	2	null	null	On Demand	Must be enrolled in one of the following College(s): School of Technology
PH 1600	Introductory Astronomy	Physics	2	null	null	"Fall, Spring, Summer"	Must be enrolled in one of the following College(s): School of Technology
PH 1610	Introductory Astronomy Lab	Physics	1	null	PH 1600	"Fall, Summer"	Must be enrolled in one of the following College(s): School of Technology
PH 2020	Introduction to Scientific Programming and Error Analysis	Physics	2	PH 1160 or PH 2100	null	Fall	"Must be enrolled in one of the following Major(s): Physics (BA), Physics, Applied Physics"
PH 2100	University Physics I-Mechanics	Physics	3	PH 1100(C) and (MA 1160 or MA 1161 or MA 1135 or MA 2160(C))	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Physics (BA), Physics, Applied Physics"
PH 2200	University Physics II-Electricity and Magnetism	Physics	3	(PH 1200(C) or PH 2261(C)) and (PH 2100 or PH 1160) and MA 2160	null	"Fall, Spring, Summer"	"Must be enrolled in one of the following Major(s): Physics (BA), Physics, Applied Physics"
PH 2230	Electronics for Scientists	Physics	4	PH 2200 or PH 2260	null	Spring	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
PH 2260 - Honors Physics III	Honors Physics III - Electricity and Magnetism	Physics	4	(PH 1160 or PH 2100) and (PH 1200(C) or PH 2261(C)) and MA 2160	null	Fall	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
PH 2261	Introduction to Experimental Physics III	Physics	1	PH 1100 or PH 1161	PH 2260	Fall	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
PH 2300	University Physics III-Fluids and Thermodynamics	Physics	2	PH 1160 or PH 2100	null	Spring	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
PH 2400	University Physics IV-Waves and Modern Physics	Physics	3	PH 2200 or PH 2260	null	"Fall, Spring, Summer"	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
PH 3110	Theoretical Mechanics I	Physics	3	(PH 2200 or PH 2260) and (MA 3520 or MA 3521 or MA 3530 or MA 3560)	null	Fall	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
PH 3111	Theoretical Mechanics II	Physics	3	PH 3110	null	Spring	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
PH 3210	Optics	Physics	3	PH 2400 and (MA 3520 or MA 3521 or MA 3530(C) or MA 3560)	null	Fall	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
PH 3300	Thermodynamics and Statistical Mechanics	Physics	3	PH 2300 or PH 1360	null	Spring	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
PH 3320	Methods of Theoretical Physics	Physics	3	MA 3160 and (MA 3520 or MA 3521 or MA 3530 or MA 3560) and (PH 2200 or PH 2260)	null	Fall	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
PH 3410	Quantum Physics I	Physics	3	PH 2400 and (MA 3520 or MA 3521 or MA 3530 or MA 3560)	null	Spring	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
PH 3411	Quantum Physics II	Physics	3	PH 3410	null	Fall	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
PH 3480	Advanced Physics Laboratory	Physics	2	PH 2230 and PH 3210	null	Spring	"May not be enrolled in one of the following Major(s): Electrical Engineering, Computer Engineering"
PH 4010	Senior Physics Colloquium I	Physics	1	null	PH 4080	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4011	Senior Physics Colloquium II	Physics	1	PH 4010	PH 4081	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4050	Qualitative Methods in Physics	Physics	1.0; Graded Pass/Fail Only	null	null	Fall	"Must be enrolled in one of the following Major(s): Physics, Applied Physics; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4080	Senior Research I	Physics	3	PH 3480	PH 4010	Fall	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4081	Senior Research II	Physics	3	PH 4080	PH 4011	Spring	"May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4090	Senior Thesis	Physics	1	null	null	Spring	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4210	Electricity and Magnetism I	Physics	3	(PH 2200 or PH 2260) and PH 3110 and (MA 3520 or MA 3521 or MA 3530 or MA 3560)	null	Fall	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4211	Electricity and Magnetism II	Physics	3	PH 4210	null	Spring	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4292	Light and Photonic Materials	Physics	3	PH 2200(C)	null	Spring	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4390	Computational Methods in Physics	Physics	3	PH 2020 and PH 3410	null	Fall	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4395	Computer Simulation in Physics	Physics	3	PH 3300 and PH 4390 and (PH 2400 or PH 3410)	null	Spring	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4510	Introduction to Solid State Physics	Physics	2	(PH 2300 or PH 1360) and PH 2400 and (CH 1150 and CH 1151) and (MA 3520 or MA 3521 or MA 3530 or MA 3560)	null	Fall	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4610	Stellar Astrophysics	Physics	3	PH 1600 and PH 2400 and (MA 3520 or MA 3521 or MA 3530 or MA 3560)	null	Spring - Offered alternate years beginning with the 2008-2009 academic year 	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4620	Galactic Astrophysics	Physics	3	PH 1600 and PH 2400 and (MA 3520 or MA 3521 or MA 3530 or MA 3560)	null	Spring - Offered alternate years beginning with the 2009-2010 academic year 	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4630	Particle Astrophysics	Physics	3	PH 2400 and (MA 3520 or MA 3521 or MA 3530 or MA 3560)	null	Spring - Offered alternate years beginning with the 2007-2008 academic year 	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4640	Fundamentals of Atmospheric Science	Physics	3	(PH 2200 or PH 2260) and (PH 1360 or PH 2300) and MA 3160 and (MA 3520 or MA 3521 or MA 3530 or MA 3560)	null	Fall - Offered alternate years beginning with the 2013-2014 academic year 	"Permission of instructor required; May not be enrolled in one of the following Class(es): Freshman, Sophomore, Junior"
PH 4710	Methods of Teaching Physics	Physics	2	PH 1210 or PH 2200 or PH 2260	null	Spring - Offered alternate years beginning with the 2010-2011 academic year 	May not be enrolled in one of the following Class(es): Freshman
PH 4999	Special Topics in Physics	Physics	variable to   9.0;  May be repeated	null	null	"Fall, Spring, Summer"	May not be enrolled in one of the following Class(es): Freshman
PSY 2000	Introduction to Psychology	Psychology	3	null	null	"Fall, Spring, Summer"	May not be enrolled in one of the following Class(es): Freshman
PSY 2100	Counseling Psychology	Psychology	3	PSY 2000	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
PSY 2200	Behavior Modification	Psychology	3	PSY 2000	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
PSY 2300	Developmental Psychology	Psychology	3	PSY 2000	null	"Spring, Summer"	May not be enrolled in one of the following Class(es): Freshman
PSY 2400	Health Psychology	Psychology	3	PSY 2000	null	On Demand	May not be enrolled in one of the following Class(es): Freshman
PSY 2501	Intro to the Psychology Major	Psychology	1	PSY 2000(C)	null	Spring	Must be enrolled in one of the following Major(s): Psychology
PSY 2600	Psychology of Death and Dying	Psychology	3	PSY 2000	null	Fall - Offered alternate years beginning with the 2013-2014 academic year 	Must be enrolled in one of the following Major(s): Psychology
PSY 2720	Statistics for the Behavioral Sciences	Psychology	4	MA 1031 or MA 1032 or MA 1160(C) or MA 1161(C) or MA 1135(C)	null	Spring	"Must be enrolled in one of the following Major(s): Social Sciences, Psychology"
PSY 2800	Critical Thinking for Social and Behavioral Sciences	Psychology	3	PSY 2000(C)	null	Spring	"Must be enrolled in one of the following Major(s): Social Sciences, Psychology"
PSY 3000	Research Methods &amp; Stats	Psychology	3	PSY 2000 and (MA 2720 or PSY 2720)	null	"Fall, Summer"	Must be enrolled in one of the following Major(s): Psychology; May not be enrolled in one of the following Class(es): Freshman
PSY 3001	Experimental Methods and Statistics II	Psychology	3	PSY 2000 and PSY 3000	null	"Spring, Summer"	Must be enrolled in one of the following Major(s): Psychology; May not be enrolled in one of the following Class(es): Freshman
PSY 3010	Theories of Personality	Psychology	3	PSY 2000 and UN 1015 and (UN 1025 or Modern Language - 3000 level or higher)	null	"Spring, Summer"	Must be enrolled in one of the following Major(s): Psychology; May not be enrolled in one of the following Class(es): Freshman
